tanggal,KASUS,MENINGGAL,SEMBUH,DIRAWAT_OR_ISOLASI,AKUMULASI_KASUS,AKUMULASI_SEMBUH,AKUMULASI_MENINGGAL,AKUMULASI_DIRAWAT_OR_ISOLASI,PROVINSI
2021-05-01,18,0,35,-17,10459,7877,379,2203,NUSA TENGGARA BARAT
2021-05-02,29,1,6,22,10488,7883,380,2225,NUSA TENGGARA BARAT
2021-05-03,129,2,28,99,10617,7911,382,2324,NUSA TENGGARA BARAT
2021-05-04,30,6,24,0,10647,7935,388,2324,NUSA TENGGARA BARAT
2021-05-05,26,12,0,14,10673,7935,400,2338,NUSA TENGGARA BARAT
2021-05-06,19,0,16,3,10692,7951,400,2341,NUSA TENGGARA BARAT
2021-05-07,28,1,9,18,10720,7960,401,2359,NUSA TENGGARA BARAT
2021-05-08,23,0,1,22,10743,7961,401,2381,NUSA TENGGARA BARAT
2021-05-09,2,0,2,0,10745,7963,401,2381,NUSA TENGGARA BARAT
2021-05-10,29,2,2,25,10774,7965,403,2406,NUSA TENGGARA BARAT
2021-05-11,15,2,12,1,10789,7977,405,2407,NUSA TENGGARA BARAT
2021-05-12,21,0,0,21,10810,7977,405,2428,NUSA TENGGARA BARAT
2021-05-13,5,0,0,5,10815,7977,405,2433,NUSA TENGGARA BARAT
2021-05-14,12,0,9,3,10827,7986,405,2436,NUSA TENGGARA BARAT
2021-05-15,5,0,0,5,10832,7986,405,2441,NUSA TENGGARA BARAT
2021-05-16,18,0,3,15,10850,7989,405,2456,NUSA TENGGARA BARAT
2021-05-17,12,0,0,12,10862,7989,405,2468,NUSA TENGGARA BARAT
2021-05-18,50,1,50,-1,10912,8039,406,2467,NUSA TENGGARA BARAT
2021-05-19,54,1,7,46,10966,8046,407,2513,NUSA TENGGARA BARAT
2021-05-20,16,1,11,4,10982,8057,408,2517,NUSA TENGGARA BARAT
2021-05-21,35,5,4,26,11017,8061,413,2543,NUSA TENGGARA BARAT
2021-05-22,30,0,21,9,11047,8082,413,2552,NUSA TENGGARA BARAT
2021-05-23,26,0,0,26,11073,8082,413,2578,NUSA TENGGARA BARAT
2021-05-24,24,0,7,17,11097,8089,413,2595,NUSA TENGGARA BARAT
2021-05-25,17,0,3,14,11114,8092,413,2609,NUSA TENGGARA BARAT
2021-05-26,22,4,0,18,11136,8092,417,2627,NUSA TENGGARA BARAT
2021-05-27,15,1,2,12,11151,8094,418,2639,NUSA TENGGARA BARAT
2021-05-28,451,1,507,-57,11602,8601,419,2582,NUSA TENGGARA BARAT
2021-05-29,40,1,10,29,11642,8611,420,2611,NUSA TENGGARA BARAT
2021-05-30,76,10,101,-35,11718,8712,430,2576,NUSA TENGGARA BARAT
2021-05-31,237,7,103,127,11955,8815,437,2703,NUSA TENGGARA BARAT
2021-05-01,31,0,20,11,14384,12562,374,1448,NUSA TENGGARA TIMUR
2021-05-02,252,3,173,76,14636,12735,377,1524,NUSA TENGGARA TIMUR
2021-05-03,61,1,62,-2,14697,12797,378,1522,NUSA TENGGARA TIMUR
2021-05-04,59,0,25,34,14756,12822,378,1556,NUSA TENGGARA TIMUR
